# ident               redshift   spec1                      i-megacam   i-megacam_err   u-megacam   u-megacam_err   g-megacam   g-megacam_err   r-megacam   r-megacam_err   i-megacam   i-megacam_err   z-megacam   z-megacam_err   J-wircam   J-wircam_err   H-wircam   H-wircam_err   K-wircam   K-wircam_err  
  SPARTAN_comb_N25    0.8062     SPARTAN_comb_N25_1.spec    22.5885     0.0             24.4385     0.6174          24.1227     0.5545          23.5249     0.17            22.5885     0.2398          22.1614     0.7585          21.5302    0.5195         21.278     0.5624         21.1183    0.3093        
  SPARTAN_comb_N26    0.8068     SPARTAN_comb_N26_1.spec    21.43       0.0             25.493      0.1045          24.5475     0.0546          23.0194     0.261           21.43       0.2073          20.6586     0.397           19.4431    1.2954         18.6693    0.2469         18.206     0.7646        
  SPARTAN_comb_N27    0.8068     SPARTAN_comb_N27_1.spec    23.9629     0.0             30.8495     0.8725          28.136      0.3053          25.7689     7.0E-4          23.9629     0.301           23.0761     0.1543          21.8015    1.6607         20.9256    0.7063         20.3922    0.5203        
  SPARTAN_comb_N28    0.8073     SPARTAN_comb_N28_1.spec    24.1095     0.0             25.165      0.2898          25.0242     0.1396          24.6978     0.0033          24.1095     0.2665          23.7774     0.3049          23.3547    1.0422         23.4284    1.0493         23.4783    0.9034        
  SPARTAN_comb_N29    0.8074     SPARTAN_comb_N29_1.spec    23.2821     0.0             23.7339     0.7792          23.737      0.0834          23.5952     0.3373          23.2821     0.3071          22.9737     0.2037          22.6524    1.1793         22.9795    0.6466         23.1814    0.7882        
  SPARTAN_comb_N30    0.8074     SPARTAN_comb_N30_1.spec    23.9493     0.0             28.8439     0.43            27.5734     0.2083          25.5385     0.237           23.9493     0.2155          23.2322     0.3445          22.3936    0.149          21.784     0.725          21.3463    0.355         
  SPARTAN_comb_N31    0.8075     SPARTAN_comb_N31_1.spec    22.5661     0.0             25.0945     1.4444          24.7027     0.2997          23.8838     0.0635          22.5661     0.309           22.2551     0.272           21.8084    0.4084         21.4978    0.5946         21.3151    0.6802        
  SPARTAN_comb_N32    0.8083     SPARTAN_comb_N32_1.spec    21.1506     0.0             22.8075     0.0427          22.6955     0.0603          22.0732     0.1089          21.1506     0.3681          20.7558     0.3748          20.2929    0.5486         20.0412    0.9059         19.9609    0.9387        
  SPARTAN_comb_N33    0.8084     SPARTAN_comb_N33_1.spec    23.2987     0.0             24.2973     0.0187          24.157      0.0706          23.8706     0.1003          23.2987     0.3755          23.0425     0.4421          22.672     1.5525         22.4412    0.7376         22.1923    0.9589        
  SPARTAN_comb_N34    0.8084     SPARTAN_comb_N34_1.spec    23.3526     0.0             24.7243     0.4035          24.5444     0.2284          24.131      0.1758          23.3526     0.2604          23.0426     0.4058          22.6228    0.8358         22.5568    0.2077         22.5372    0.182         
  SPARTAN_comb_N35    0.8087     SPARTAN_comb_N35_1.spec    22.4935     0.0             23.1292     0.5081          23.0196     0.6462          22.7967     0.3946          22.4935     0.0413          22.1243     0.1127          21.6484    0.3567         21.8075    0.861          21.8544    0.6523        
  SPARTAN_comb_N36    0.8091     SPARTAN_comb_N36_1.spec    24.3558     0.0             25.2103     0.4129          25.1707     0.2986          24.9469     0.231           24.3558     0.239           24.1241     0.5305          23.8236    0.5314         23.6245    0.3563         23.3966    0.8142        
