# ident               redshift   spec1                      i-megacam   i-megacam_err   u-megacam   u-megacam_err   g-megacam   g-megacam_err   r-megacam   r-megacam_err   i-megacam   i-megacam_err   z-megacam   z-megacam_err   J-wircam   J-wircam_err   H-wircam   H-wircam_err   K-wircam   K-wircam_err  
  SPARTAN_comb_N214   0.8532     SPARTAN_comb_N214_1.spec   22.3431     0.0             27.1757     1.0248          25.78       0.4134          23.8481     0.1315          22.3431     0.5243          21.5314     0.0615          20.4831    0.9264         19.8008    1.0251         19.3561    0.0214        
  SPARTAN_comb_N215   0.8535     SPARTAN_comb_N215_1.spec   21.9656     0.0             21.7245     0.1             21.866      0.13            21.9684     0.0483          21.9656     0.3574          21.7325     0.4155          21.3075    0.4264         21.9472    1.0241         22.3157    0.7364        
  SPARTAN_comb_N216   0.8537     SPARTAN_comb_N216_1.spec   23.1945     0.0             24.8637     0.0968          24.5708     0.0707          24.0815     0.3305          23.1945     0.308           22.7857     0.2474          22.1365    0.476          21.9817    0.3777         21.8576    0.4785        
  SPARTAN_comb_N217   0.8538     SPARTAN_comb_N217_1.spec   19.936      0.0             24.2202     0.0767          23.1743     0.0045          21.5287     0.1578          19.936      0.2838          19.1001     0.379           17.8655    0.7522         17.0899    0.8007         16.6006    1.137         
  SPARTAN_comb_N218   0.8539     SPARTAN_comb_N218_1.spec   21.1882     0.0             22.109      0.6808          22.0572     0.1146          21.8486     0.1212          21.1882     0.1256          20.9864     0.2723          20.7192    0.8967         20.5759    0.8186         20.361     0.7295        
  SPARTAN_comb_N219   0.8555     SPARTAN_comb_N219_1.spec   21.7917     0.0             22.9456     0.2846          22.6895     0.0587          22.3665     0.1476          21.7917     0.3571          21.5046     0.5945          20.9612    0.7854         20.7473    0.5067         20.4362    0.6057        
  SPARTAN_comb_N220   0.8561     SPARTAN_comb_N220_1.spec   23.3349     0.0             24.006      0.4554          23.9749     0.0332          23.8434     0.2248          23.3349     0.1516          23.1251     0.6354          22.7785    0.8499         22.9019    1.2704         22.9049    0.596         
  SPARTAN_comb_N221   0.8563     SPARTAN_comb_N221_1.spec   22.7003     0.0             23.2028     0.9084          23.1817     0.0631          23.097      0.1566          22.7003     0.2075          22.5476     0.3387          22.2771    1.3985         22.2585    0.5198         22.0852    0.6369        
  SPARTAN_comb_N222   0.8564     SPARTAN_comb_N222_1.spec   23.5099     0.0             24.5801     0.0764          24.3292     0.1505          24.0275     0.2565          23.5099     0.3333          23.2285     0.2703          22.6758    0.4648         22.4968    0.5569         22.1925    0.6701        
  SPARTAN_comb_N223   0.8568     SPARTAN_comb_N223_1.spec   23.5931     0.0             27.4582     0.4509          26.7932     0.2171          24.9764     0.1308          23.5931     0.3856          22.7786     0.7436          21.9423    0.8941         21.386     1.4685         20.9232    0.6311        
  SPARTAN_comb_N224   0.857      SPARTAN_comb_N224_1.spec   21.8791     0.0             27.2624     0.3188          25.4452     0.2602          23.3897     0.3481          21.8791     0.0065          21.0654     0.314           20.0216    0.3526         19.3565    1.1777         18.9211    0.9916        
  SPARTAN_comb_N225   0.8573     SPARTAN_comb_N225_1.spec   22.38       0.0             22.5975     0.0612          22.6901     0.0122          22.715      0.1239          22.38       0.2575          22.2884     0.4534          22.1547    0.9443         22.2195    0.1479         22.1075    0.3764        
  SPARTAN_comb_N226   0.8573     SPARTAN_comb_N226_1.spec   22.8071     0.0             24.0088     0.6626          23.6836     0.5161          23.2797     0.1111          22.8071     0.0386          22.259      0.3408          21.2747    1.1125         21.6043    0.0375         21.7805    1.2751        
  SPARTAN_comb_N227   0.8574     SPARTAN_comb_N227_1.spec   22.691      0.0             28.351      0.0238          26.4729     0.1582          24.1409     0.1663          22.691      0.3788          21.8389     0.1447          20.9723    0.5918         20.4003    1.4821         19.9282    0.4984        
  SPARTAN_comb_N228   0.8575     SPARTAN_comb_N228_1.spec   22.0075     0.0             24.0269     0.1305          23.612      0.2599          23.0039     0.1716          22.0075     0.1848          21.5225     0.6148          20.7171    1.1951         20.4598    0.066          20.2444    0.2443        
  SPARTAN_comb_N229   0.8577     SPARTAN_comb_N229_1.spec   22.026      0.0             21.8231     0.3055          21.9432     0.4211          22.0718     0.1592          22.026      0.2709          21.9459     0.2313          21.7311    0.4945         22.0054    0.4742         21.9507    0.7166        
  SPARTAN_comb_N230   0.858      SPARTAN_comb_N230_1.spec   22.7871     0.0             25.3565     0.0663          24.7891     0.2022          23.9978     0.278           22.7871     0.2133          22.2472     0.4515          21.3418    0.7383         20.935     1.4224         20.6353    0.2094        
  SPARTAN_comb_N231   0.858      SPARTAN_comb_N231_1.spec   23.0403     0.0             28.8979     0.9982          27.0705     0.5349          24.8436     0.0623          23.0403     0.118           22.1413     0.3611          20.9018    1.0335         20.1287    0.4553         19.4373    0.9493        
  SPARTAN_comb_N232   0.8588     SPARTAN_comb_N232_1.spec   22.3873     0.0             25.4165     0.3273          24.8046     0.1664          23.7882     0.0943          22.3873     0.2522          21.8328     0.6232          21.0024    0.5473         20.5159    0.5093         20.2044    0.4467        
  SPARTAN_comb_N233   0.8588     SPARTAN_comb_N233_1.spec   23.3456     0.0             26.7189     0.3696          26.0554     0.2372          24.8427     0.3123          23.3456     0.143           22.4779     0.0638          21.1886    0.5303         20.32      1.0652         19.5759    0.5556        
  SPARTAN_comb_N234   0.8591     SPARTAN_comb_N234_1.spec   21.5759     0.0             23.3369     0.4932          23.0312     0.0635          22.5188     0.081           21.5759     0.102           21.1572     0.6593          20.495     0.8591         20.3111    0.4565         20.1543    0.5636        
  SPARTAN_comb_N235   0.8591     SPARTAN_comb_N235_1.spec   21.6498     0.0             22.5254     0.2287          22.3003     0.0725          22.0363     0.1094          21.6498     0.1113          21.2501     0.5175          20.4643    0.255          20.7057    1.2704         20.7242    1.0086        
  SPARTAN_comb_N236   0.8592     SPARTAN_comb_N236_1.spec   22.9368     0.0             29.4553     0.3933          26.9507     0.4901          24.5249     0.0688          22.9368     0.0822          21.9906     0.4061          20.8126    0.3951         20.0361    0.3803         19.5335    0.1884        
  SPARTAN_comb_N237   0.8593     SPARTAN_comb_N237_1.spec   20.6966     0.0             26.3367     0.8496          24.2905     0.1935          22.1578     0.0853          20.6966     0.1351          19.8605     0.4921          18.7809    1.0127         18.0992    0.7808         17.7431    0.9059        
  SPARTAN_comb_N238   0.8593     SPARTAN_comb_N238_1.spec   21.9026     0.0             24.288      0.1494          23.8182     0.3663          23.0616     0.0855          21.9026     0.4153          21.3514     0.3305          20.4801    0.5479         20.0602    0.7434         19.7525    0.3986        
  SPARTAN_comb_N239   0.8595     SPARTAN_comb_N239_1.spec   21.3047     0.0             22.0558     0.1079          22.1036     0.1373          21.947      0.0997          21.3047     0.292           21.0564     0.3708          20.7738    1.0476         20.7782    0.875          20.7331    0.8788        
  SPARTAN_comb_N240   0.8598     SPARTAN_comb_N240_1.spec   22.1067     0.0             23.7214     0.5333          23.5669     0.2787          23.0948     0.3391          22.1067     0.1704          21.8059     0.2379          21.452     0.7006         21.327     0.5538         21.2735    0.5058        
  SPARTAN_comb_N241   0.8599     SPARTAN_comb_N241_1.spec   22.3291     0.0             28.6864     0.6397          26.391      0.0408          24.0136     0.1409          22.3291     0.1548          21.3396     0.3268          19.9556    0.3906         19.0484    0.2358         18.5385    0.355         
  SPARTAN_comb_N242   0.8602     SPARTAN_comb_N242_1.spec   20.8037     0.0             23.0957     1.0111          22.6409     0.4603          21.9286     0.1951          20.8037     0.3571          20.2742     0.6039          19.4264    0.3449         19.049     0.3712         18.7616    0.6112        
  SPARTAN_comb_N243   0.8602     SPARTAN_comb_N243_1.spec   22.1348     0.0             27.4194     0.062           25.6232     0.325           23.498      0.3559          22.1348     0.1843          21.326      0.5099          20.4393    1.2716         19.8657    0.7289         19.5138    0.6681        
  SPARTAN_comb_N244   0.8603     SPARTAN_comb_N244_1.spec   21.5926     0.0             26.0706     0.6262          24.8169     0.1217          22.9818     0.1687          21.5926     0.3042          20.8316     0.2192          19.9151    0.3723         19.3316    0.7012         18.9552    0.7892        
  SPARTAN_comb_N245   0.8605     SPARTAN_comb_N245_1.spec   21.4661     0.0             21.9309     0.1512          22.016      0.0805          21.9703     0.1179          21.4661     0.0376          21.2911     0.316           21.0559    0.5874         21.3228    0.368          21.4555    0.1693        
  SPARTAN_comb_N246   0.861      SPARTAN_comb_N246_1.spec   22.6603     0.0             23.3567     0.5197          23.3218     0.4145          23.1871     0.1774          22.6603     0.2372          22.4673     0.1931          22.17      0.5406         22.0945    0.8297         21.8712    0.5728        
  SPARTAN_comb_N247   0.8611     SPARTAN_comb_N247_1.spec   22.0571     0.0             23.5753     0.0274          23.2009     0.271           22.7551     0.1844          22.0571     0.1377          21.635      0.4628          20.8224    0.7128         20.7615    0.5424         20.5738    1.3769        
  SPARTAN_comb_N248   0.8612     SPARTAN_comb_N248_1.spec   21.5084     0.0             22.9165     0.1408          22.6361     0.0598          22.2533     0.1933          21.5084     0.0418          21.1837     0.8232          20.5888    0.3702         20.4962    1.111          20.3239    1.3377        
  SPARTAN_comb_N249   0.8613     SPARTAN_comb_N249_1.spec   21.9363     0.0             23.8787     0.8245          23.3763     0.3186          22.79       0.2452          21.9363     0.3083          21.4442     0.6012          20.5114    0.0291         20.3065    1.2737         20.0247    0.2225        
  SPARTAN_comb_N250   0.8613     SPARTAN_comb_N250_1.spec   23.6983     0.0             25.7863     0.8133          25.2796     0.1335          24.6528     0.122           23.6983     0.2587          23.1913     0.2201          22.2747    0.615          22.1035    0.8045         21.9018    1.0602        
  SPARTAN_comb_N251   0.8616     SPARTAN_comb_N251_1.spec   21.1952     0.0             22.67       0.3228          22.2171     0.1333          21.7245     0.2049          21.1952     0.1489          20.6081     0.5215          19.4828    1.3474         19.6763    1.034          19.6341    0.7375        
  SPARTAN_comb_N252   0.8617     SPARTAN_comb_N252_1.spec   23.669      0.0             29.9055     0.4606          27.5646     0.1068          25.2275     0.1101          23.669      0.3762          22.7461     0.4838          21.5956    0.9076         20.8434    0.071          20.3477    0.1705        
  SPARTAN_comb_N253   0.8619     SPARTAN_comb_N253_1.spec   23.3504     0.0             23.8671     0.4561          23.9467     0.1307          23.8842     0.2567          23.3504     0.215           23.1671     0.3447          22.9267    0.9059         23.1646    0.98           23.2758    0.7812        
  SPARTAN_comb_N254   0.862      SPARTAN_comb_N254_1.spec   21.5661     0.0             25.1956     0.5142          24.3919     0.0268          23.1345     0.0533          21.5661     0.172           21.0131     0.8276          20.2041    0.9568         19.6796    0.5879         19.3594    1.2191        
  SPARTAN_comb_N255   0.862      SPARTAN_comb_N255_1.spec   23.8512     0.0             26.4861     1.036           26.1575     0.1553          25.0226     0.1201          23.8512     0.0491          23.2743     0.5431          22.7154    0.8709         22.4031    0.6607         22.0722    0.6473        
  SPARTAN_comb_N256   0.8621     SPARTAN_comb_N256_1.spec   22.9048     0.0             24.0902     0.164           24.0815     0.0046          23.7123     0.1667          22.9048     0.1788          22.522      0.4096          22.0972    0.6679         21.9119    0.9155         21.7689    0.9391        
  SPARTAN_comb_N257   0.8623     SPARTAN_comb_N257_1.spec   23.615      0.0             25.0286     0.1215          24.8453     0.0295          24.4441     0.0901          23.615      0.2736          23.1965     0.5086          22.5781    0.9186         22.2106    1.0909         21.7908    0.3145        
  SPARTAN_comb_N258   0.8624     SPARTAN_comb_N258_1.spec   22.2347     0.0             23.7146     0.6088          23.2605     0.162           22.7702     0.2041          22.2347     0.1044          21.6545     0.1928          20.5311    0.7837         20.7209    0.2            20.6592    0.3906        
  SPARTAN_comb_N259   0.8625     SPARTAN_comb_N259_1.spec   20.6699     0.0             22.2349     0.1907          21.7683     0.0545          21.2666     0.0748          20.6699     0.3729          20.1309     0.5748          19.0659    1.0971         19.1281    0.753          18.9761    0.1695        
  SPARTAN_comb_N260   0.8625     SPARTAN_comb_N260_1.spec   22.176      0.0             23.2184     0.2275          23.0744     0.0891          22.8204     0.2376          22.176      0.245           21.887      0.4199          21.3872    0.6269         21.5292    0.0767         21.544     0.6434        
  SPARTAN_comb_N261   0.8625     SPARTAN_comb_N261_1.spec   22.5984     0.0             24.2704     0.8986          24.0668     0.1811          23.5487     0.1856          22.5984     0.1215          22.0546     0.3545          21.283     0.9178         20.7761    0.5987         20.2757    0.8924        
  SPARTAN_comb_N262   0.8627     SPARTAN_comb_N262_1.spec   22.3952     0.0             24.9219     0.0708          24.3592     0.0015          23.5929     0.3352          22.3952     0.197           21.8438     0.5021          20.924     0.0061         20.4781    0.9747         20.0875    1.2452        
  SPARTAN_comb_N263   0.8627     SPARTAN_comb_N263_1.spec   23.5833     0.0             24.705      0.5301          24.5461     0.3412          24.2691     0.2533          23.5833     0.2095          23.2854     0.5953          22.7853    0.6901         22.782     0.6271         22.6677    0.5373        
  SPARTAN_comb_N264   0.8628     SPARTAN_comb_N264_1.spec   22.2452     0.0             22.9057     0.4066          22.9651     0.0616          22.8388     0.1726          22.2452     0.0803          22.0029     0.5414          21.7226    0.5058         21.6083    0.6831         21.3718    0.3724        
  SPARTAN_comb_N265   0.863      SPARTAN_comb_N265_1.spec   21.7621     0.0             23.9616     0.4684          23.4351     0.3103          22.7777     0.0046          21.7621     0.1038          21.2854     0.3361          20.4358    0.1155         19.9379    0.2686         19.4126    0.478         
  SPARTAN_comb_N266   0.8632     SPARTAN_comb_N266_1.spec   21.7005     0.0             22.4986     0.6628          22.5407     0.3551          22.3848     0.0669          21.7005     0.2816          21.4878     0.3925          21.2692    0.5709         21.3163    0.5368         21.2941    0.0833        
  SPARTAN_comb_N267   0.8632     SPARTAN_comb_N267_1.spec   23.6553     0.0             26.1155     0.3285          25.7079     0.4769          24.844      0.0472          23.6553     0.3049          22.995      0.3316          22.0623    0.4649         21.4957    1.0192         21.0812    0.8364        
  SPARTAN_comb_N268   0.8634     SPARTAN_comb_N268_1.spec   22.5002     0.0             24.8659     0.1826          24.4194     0.4072          23.658      0.2011          22.5002     0.2494          21.8226     0.4317          20.7696    0.8601         20.0684    0.5562         19.4197    0.5668        
  SPARTAN_comb_N269   0.8636     SPARTAN_comb_N269_1.spec   20.4146     0.0             21.2123     0.3929          21.2545     0.1201          21.0988     0.1485          20.4146     0.2518          20.2016     0.3999          19.9825    1.2441         20.0306    0.1038         20.0077    0.5606        
  SPARTAN_comb_N270   0.8636     SPARTAN_comb_N270_1.spec   23.6123     0.0             28.0193     0.7132          26.5205     0.2627          24.7626     0.1737          23.6123     0.0225          22.9691     0.4006          22.3133    0.4253         21.9181    0.9826         21.776     0.3297        
  SPARTAN_comb_N271   0.8636     SPARTAN_comb_N271_1.spec   23.7542     0.0             24.3816     0.5736          24.4423     0.1686          24.3478     0.0861          23.7542     0.3223          23.5636     0.5079          23.3425    0.8442         23.4502    0.1198         23.447     0.6958        
  SPARTAN_comb_N272   0.8637     SPARTAN_comb_N272_1.spec   22.5937     0.0             23.0831     0.2358          23.1653     0.085           23.1164     0.1403          22.5937     0.0945          22.422      0.5489          22.1888    1.0948         22.4557    0.8498         22.5746    0.8782        
  SPARTAN_comb_N273   0.8637     SPARTAN_comb_N273_1.spec   23.1265     0.0             25.4738     0.0027          25.2812     0.1629          24.2597     0.1839          23.1265     0.163           22.4687     0.4196          21.7906    1.0586         21.3601    0.0359         20.9545    1.0533        
  SPARTAN_comb_N274   0.8639     SPARTAN_comb_N274_1.spec   22.6086     0.0             23.9695     0.5101          23.791      0.0205          23.433      0.091           22.6086     0.247           22.2828     0.6718          21.7813    0.5831         21.7526    0.1477         21.6861    0.6795        
  SPARTAN_comb_N275   0.864      SPARTAN_comb_N275_1.spec   21.9367     0.0             23.2017     0.3453          23.1152     0.2513          22.7663     0.066           21.9367     0.2823          21.5963     0.0071          21.1768    1.1175         20.9444    0.7636         20.6285    0.2846        
  SPARTAN_comb_N276   0.864      SPARTAN_comb_N276_1.spec   23.3941     0.0             24.8344     0.8005          24.4658     0.2033          24.042      0.1976          23.3941     0.4055          22.9714     0.1672          22.1291    0.6931         22.1345    1.0059         21.9546    0.5308        
  SPARTAN_comb_N277   0.864      SPARTAN_comb_N277_1.spec   23.7714     0.0             24.8973     0.4748          24.9066     0.3819          24.5805     0.1417          23.7714     0.0278          23.4293     0.197           23.0787    1.2081         22.8946    0.393          22.626     0.3149        
  SPARTAN_comb_N278   0.8641     SPARTAN_comb_N278_1.spec   22.1424     0.0             22.7293     0.0826          22.8004     0.1041          22.7187     0.0268          22.1424     0.3987          21.961      0.3325          21.7329    0.3282         21.9446    0.4457         22.0401    0.761         
  SPARTAN_comb_N279   0.8647     SPARTAN_comb_N279_1.spec   22.5176     0.0             23.2375     0.215           23.1034     0.0299          22.9369     0.1917          22.5176     0.1097          22.3129     0.5495          21.8742    1.2269         21.852     0.5928         21.5894    1.556         
  SPARTAN_comb_N280   0.8648     SPARTAN_comb_N280_1.spec   22.4522     0.0             24.2186     0.8897          23.8204     0.2243          23.3112     0.091           22.4522     0.2248          22.05       0.5109          21.3315    0.294          20.9608    0.7812         20.5074    0.5669        
  SPARTAN_comb_N281   0.8648     SPARTAN_comb_N281_1.spec   23.0656     0.0             23.7266     0.6916          23.6928     0.4094          23.5731     0.1516          23.0656     0.0402          22.8942     0.4214          22.6118    0.3391         22.572     0.4482         22.3563    0.6497        
  SPARTAN_comb_N282   0.8649     SPARTAN_comb_N282_1.spec   21.6776     0.0             28.7784     0.5812          26.3688     0.0852          23.5965     0.2353          21.6776     5.0E-4          20.5237     0.6616          18.9792    0.8114         17.9521    0.9105         17.1192    1.167         
  SPARTAN_comb_N283   0.8649     SPARTAN_comb_N283_1.spec   22.1125     0.0             23.8607     0.3016          23.6948     0.2249          23.0903     0.2765          22.1125     0.3468          21.6165     0.4598          21.0085    0.5447         20.6821    0.5385         20.4429    0.9457        
  SPARTAN_comb_N284   0.865      SPARTAN_comb_N284_1.spec   23.1003     0.0             25.1141     0.0664          24.6987     0.3665          24.1025     0.1199          23.1003     0.3425          22.615      0.1681          21.7954    0.1179         21.5627    0.8491         21.3276    0.8569        
  SPARTAN_comb_N285   0.8656     SPARTAN_comb_N285_1.spec   22.9766     0.0             27.7951     0.0383          26.8341     0.4382          24.6834     0.206           22.9766     0.3344          21.9331     0.4435          20.6377    0.4127         19.7794    0.8887         19.0754    0.8998        
  SPARTAN_comb_N286   0.8661     SPARTAN_comb_N286_1.spec   22.2067     0.0             23.683      0.1495          23.3047     0.222           22.8781     0.181           22.2067     0.2679          21.855      0.5586          21.1447    0.9856         20.8947    0.7645         20.476     0.7393        
  SPARTAN_comb_N287   0.8663     SPARTAN_comb_N287_1.spec   23.1788     0.0             26.6867     0.1125          26.0899     0.0416          24.7235     0.0302          23.1788     0.1756          22.2159     0.2816          20.8961    0.6325         20.013     0.8946         19.2704    0.5439        
  SPARTAN_comb_N288   0.8665     SPARTAN_comb_N288_1.spec   23.948      0.0             24.2189     0.4505          24.3223     0.0603          24.3439     0.0803          23.948      0.3378          23.8        0.0246          23.5379    2.0165         23.9655    0.3918         24.133     0.9408        
  SPARTAN_comb_N289   0.8667     SPARTAN_comb_N289_1.spec   23.56       0.0             23.265      0.5654          23.3945     0.1085          23.5582     0.3588          23.56       0.2743          23.4726     0.6034          23.1582    0.6488         23.6461    0.6192         23.5888    0.2409        
  SPARTAN_comb_N290   0.8671     SPARTAN_comb_N290_1.spec   23.3568     0.0             26.2229     0.5524          25.7027     0.1029          24.5223     0.2607          23.3568     0.1222          22.7633     0.299           22.0763    1.2184         21.6862    0.8793         21.4855    1.1647        
  SPARTAN_comb_N291   0.8675     SPARTAN_comb_N291_1.spec   21.772      0.0             22.8152     0.6897          22.6596     0.1858          22.4044     0.1322          21.772      0.3099          21.5053     0.1553          21.0504    0.1948         20.8936    0.0893         20.5771    0.0345        
  SPARTAN_comb_N292   0.8677     SPARTAN_comb_N292_1.spec   21.482      0.0             23.4904     0.3344          22.9778     0.0203          22.3793     0.1225          21.482      0.1336          21.0264     0.3249          20.1673    0.4868         19.7422    0.5332         19.22      0.2632        
  SPARTAN_comb_N293   0.8681     SPARTAN_comb_N293_1.spec   22.7181     0.0             22.9194     0.7215          22.9483     0.0152          22.9423     0.2188          22.7181     0.1854          22.4385     0.3926          21.8143    0.4111         22.5739    0.496          22.8479    1.3745        
  SPARTAN_comb_N294   0.8684     SPARTAN_comb_N294_1.spec   23.9967     0.0             28.5233     0.9403          27.6187     0.1302          25.5631     0.3137          23.9967     0.3846          23.0304     0.5403          21.8954    0.8062         21.1566    0.5092         20.5354    0.5885        
  SPARTAN_comb_N295   0.8685     SPARTAN_comb_N295_1.spec   22.1058     0.0             22.2898     0.3111          22.3821     0.2845          22.4255     0.1471          22.1058     0.2324          22.0278     0.253           21.8749    0.9201         22.0049    0.5338         21.8668    0.6552        
  SPARTAN_comb_N296   0.8688     SPARTAN_comb_N296_1.spec   21.1891     0.0             21.9021     0.0169          21.9562     0.1449          21.8081     0.1669          21.1891     0.4736          20.9181     0.3808          20.5997    0.078          20.4673    1.1097         20.2052    0.3831        
  SPARTAN_comb_N297   0.8689     SPARTAN_comb_N297_1.spec   23.5895     0.0             29.6873     0.3787          27.8897     0.1025          25.3164     0.1481          23.5895     0.1716          22.5305     0.4824          21.2318    0.0159         20.3818    1.0101         19.6797    1.0027        
  SPARTAN_comb_N298   0.8692     SPARTAN_comb_N298_1.spec   24.0916     0.0             24.8693     0.8169          24.8294     0.0371          24.6777     0.1413          24.0916     0.1929          23.8568     0.3934          23.474     0.6053         23.5861    0.414          23.5258    0.1256        
  SPARTAN_comb_N299   0.8696     SPARTAN_comb_N299_1.spec   22.6231     0.0             23.8551     0.2011          23.8431     0.2612          23.4419     0.2136          22.6231     0.0908          22.1944     0.544           21.7093    0.3473         21.4784    0.8549         21.2955    0.3103        
  SPARTAN_comb_N300   0.8698     SPARTAN_comb_N300_1.spec   22.9329     0.0             24.5233     0.7733          24.1361     0.162           23.6809     0.1542          22.9329     0.3578          22.5655     0.3379          21.8494    0.7173         21.566     1.1685         21.1256    0.946         
  SPARTAN_comb_N301   0.8698     SPARTAN_comb_N301_1.spec   23.2316     0.0             23.8477     0.6517          23.8209     0.0938          23.7185     0.3212          23.2316     0.4228          23.0252     0.1534          22.6307    0.9908         22.8433    0.66           22.8153    0.3769        
  SPARTAN_comb_N302   0.8705     SPARTAN_comb_N302_1.spec   21.3819     0.0             22.3017     1.2533          22.0884     0.1232          21.8325     0.1631          21.3819     0.4942          20.9683     0.2597          20.0901    0.1281         20.6223    0.8523         20.7146    0.185         
  SPARTAN_comb_N303   0.871      SPARTAN_comb_N303_1.spec   23.2363     0.0             24.6845     0.9343          24.4058     0.2048          24.0153     0.1406          23.2363     0.1873          22.8643     0.2633          22.1974    0.3668         22.1243    0.5401         21.9156    0.36          
  SPARTAN_comb_N304   0.8716     SPARTAN_comb_N304_1.spec   22.8339     0.0             28.8831     0.2988          27.3071     0.2808          24.6854     0.2466          22.8339     0.2726          21.6871     0.2936          20.2222    0.3741         19.2604    1.2752         18.4706    0.9467        
  SPARTAN_comb_N305   0.873      SPARTAN_comb_N305_1.spec   22.4167     0.0             27.2367     0.2261          25.7901     0.0605          23.9301     0.1893          22.4167     0.0746          21.6638     0.1609          20.719     0.9633         20.1443    0.2819         19.7439    0.1514        
  SPARTAN_comb_N306   0.8731     SPARTAN_comb_N306_1.spec   21.4574     0.0             27.0309     0.4528          24.9512     0.4439          22.7876     0.211           21.4574     0.1153          20.6378     0.4066          19.7513    0.2742         19.1985    0.7067         18.8406    0.6133        
  SPARTAN_comb_N307   0.8731     SPARTAN_comb_N307_1.spec   23.5697     0.0             24.4519     0.0744          24.4017     0.202           24.2172     0.0499          23.5697     0.0735          23.3216     0.4333          22.9415    0.046          23.0094    0.9222         22.9279    0.4284        
  SPARTAN_comb_N308   0.8733     SPARTAN_comb_N308_1.spec   23.9841     0.0             24.4238     0.3319          24.5119     0.0797          24.4848     0.2361          23.9841     0.1312          23.8212     0.2833          23.5617    0.6964         23.8904    0.9233         23.998     0.2758        
  SPARTAN_comb_N309   0.8738     SPARTAN_comb_N309_1.spec   21.0841     0.0             22.3188     0.2643          21.969      0.1274          21.6014     0.1024          21.0841     0.0542          20.6455     0.1293          19.6685    0.3726         19.9281    0.171          19.7923    0.4081        
  SPARTAN_comb_N310   0.8738     SPARTAN_comb_N310_1.spec   23.9877     0.0             27.5193     0.3038          26.6434     0.439           25.1494     0.3379          23.9877     0.1895          23.4005     0.1155          22.8343    0.4307         22.527     0.5166         22.3398    0.6373        
  SPARTAN_comb_N311   0.8739     SPARTAN_comb_N311_1.spec   22.5262     0.0             23.4366     0.1067          23.224      0.079           22.9748     0.1986          22.5262     0.4085          22.1249     0.5598          21.2319    0.5436         21.7873    0.7547         21.8663    1.5072        
  SPARTAN_comb_N312   0.874      SPARTAN_comb_N312_1.spec   22.1732     0.0             23.3925     0.4527          23.1466     0.2013          22.8248     0.3275          22.1732     0.0552          21.8134     0.1689          21.0835    0.9185         21.3139    0.4631         21.2639    1.1524        
  SPARTAN_comb_N313   0.8741     SPARTAN_comb_N313_1.spec   23.2471     0.0             27.2235     0.7801          26.3296     0.4997          24.7667     0.2556          23.2471     0.0486          22.3496     0.6895          21.0431    0.4602         20.2238    0.996          19.7192    0.43          
  SPARTAN_comb_N314   0.8744     SPARTAN_comb_N314_1.spec   23.0737     0.0             24.1674     0.3219          24.006      0.0463          23.7358     0.1187          23.0737     0.1729          22.7959     0.1169          22.3258    0.3014         22.1663    0.3992         21.8327    1.5511        
  SPARTAN_comb_N315   0.8744     SPARTAN_comb_N315_1.spec   23.6997     0.0             27.6554     0.8479          26.7658     0.2413          25.1522     0.2353          23.6997     0.3721          23.0447     0.7117          22.3073    1.2714         21.8612    1.0473         21.3951    1.4736        
  SPARTAN_comb_N316   0.875      SPARTAN_comb_N316_1.spec   22.5215     0.0             24.7171     0.0248          24.275      0.3043          23.6055     0.2927          22.5215     0.1807          21.994      0.7328          21.1234    0.6049         20.7965    0.9315         20.4951    0.8937        
  SPARTAN_comb_N317   0.8753     SPARTAN_comb_N317_1.spec   23.2729     0.0             25.3464     0.3924          24.8393     0.172           24.2276     0.2309          23.2729     0.3995          22.7692     0.1125          21.8077    0.8842         21.7042    0.233          21.4626    0.7575        
  SPARTAN_comb_N318   0.8754     SPARTAN_comb_N318_1.spec   21.732      0.0             22.7237     0.1066          22.4707     0.1122          22.205      0.3358          21.732      0.3581          21.4724     0.2528          20.8547    0.2269         20.8179    1.0483         20.4558    0.5684        
  SPARTAN_comb_N319   0.8754     SPARTAN_comb_N319_1.spec   21.8189     0.0             23.0067     0.1145          23.0054     0.2158          22.6623     0.3177          21.8189     0.2678          21.5027     0.6484          21.2126    0.5974         21.0656    1.0525         20.8077    0.5186        
  SPARTAN_comb_N320   0.8757     SPARTAN_comb_N320_1.spec   22.1202     0.0             22.7118     0.8302          22.6168     0.3759          22.4864     0.3024          22.1202     0.2932          21.8021     0.431           21.0428    1.0519         21.701     0.6937         21.8451    0.6969        
  SPARTAN_comb_N321   0.8757     SPARTAN_comb_N321_1.spec   23.7448     0.0             28.7364     0.3471          27.4526     0.0308          25.5036     0.1127          23.7448     0.2107          22.8961     0.3779          21.7341    1.0452         20.9972    0.4811         20.3071    0.9217        
  SPARTAN_comb_N322   0.8758     SPARTAN_comb_N322_1.spec   23.2176     0.0             24.0111     0.6537          23.9665     0.2609          23.8151     0.1311          23.2176     0.1941          23.0116     0.5838          22.6571    1.1737         22.7852    0.1958         22.7225    0.4655        
  SPARTAN_comb_N323   0.876      SPARTAN_comb_N323_1.spec   23.7528     0.0             27.1875     0.2763          26.5027     0.2635          25.2443     0.1511          23.7528     0.224           22.8667     0.4893          21.5736    0.3426         20.7414    0.5632         19.9931    0.5931        
