# ident               redshift   spec1                      i-megacam   i-megacam_err  
  SPARTAN_comb_N68    0.8241     SPARTAN_comb_N68_1.spec    21.6065     0.5            
  SPARTAN_comb_N69    0.8242     SPARTAN_comb_N69_1.spec    21.4887     0.5            
  SPARTAN_comb_N70    0.8242     SPARTAN_comb_N70_1.spec    23.4498     0.5            
  SPARTAN_comb_N71    0.8246     SPARTAN_comb_N71_1.spec    22.9688     0.5            
  SPARTAN_comb_N72    0.825      SPARTAN_comb_N72_1.spec    23.4262     0.5            
  SPARTAN_comb_N73    0.8252     SPARTAN_comb_N73_1.spec    23.654      0.5            
  SPARTAN_comb_N74    0.8254     SPARTAN_comb_N74_1.spec    21.6575     0.5            
  SPARTAN_comb_N75    0.8255     SPARTAN_comb_N75_1.spec    24.489      0.5            
  SPARTAN_comb_N76    0.8257     SPARTAN_comb_N76_1.spec    22.6839     0.5            
  SPARTAN_comb_N77    0.8259     SPARTAN_comb_N77_1.spec    23.1816     0.5            
  SPARTAN_comb_N78    0.826      SPARTAN_comb_N78_1.spec    22.9754     0.5            
  SPARTAN_comb_N79    0.8266     SPARTAN_comb_N79_1.spec    23.4997     0.5            
  SPARTAN_comb_N80    0.8271     SPARTAN_comb_N80_1.spec    22.8861     0.5            
  SPARTAN_comb_N81    0.8271     SPARTAN_comb_N81_1.spec    23.7413     0.5            
  SPARTAN_comb_N82    0.8272     SPARTAN_comb_N82_1.spec    22.5953     0.5            
  SPARTAN_comb_N83    0.8272     SPARTAN_comb_N83_1.spec    23.6867     0.5            
  SPARTAN_comb_N84    0.8273     SPARTAN_comb_N84_1.spec    23.2948     0.5            
  SPARTAN_comb_N85    0.8275     SPARTAN_comb_N85_1.spec    23.2783     0.5            
  SPARTAN_comb_N86    0.8276     SPARTAN_comb_N86_1.spec    23.9709     0.5            
  SPARTAN_comb_N87    0.8282     SPARTAN_comb_N87_1.spec    21.402      0.5            
  SPARTAN_comb_N88    0.8285     SPARTAN_comb_N88_1.spec    23.0648     0.5            
  SPARTAN_comb_N89    0.8286     SPARTAN_comb_N89_1.spec    22.3875     0.5            
  SPARTAN_comb_N90    0.8289     SPARTAN_comb_N90_1.spec    23.3182     0.5            
  SPARTAN_comb_N91    0.829      SPARTAN_comb_N91_1.spec    23.3535     0.5            
  SPARTAN_comb_N92    0.8293     SPARTAN_comb_N92_1.spec    21.8232     0.5            
  SPARTAN_comb_N93    0.8293     SPARTAN_comb_N93_1.spec    23.7168     0.5            
  SPARTAN_comb_N94    0.8294     SPARTAN_comb_N94_1.spec    24.0604     0.5            
  SPARTAN_comb_N95    0.8295     SPARTAN_comb_N95_1.spec    22.6102     0.5            
  SPARTAN_comb_N96    0.8295     SPARTAN_comb_N96_1.spec    22.7015     0.5            
  SPARTAN_comb_N97    0.8298     SPARTAN_comb_N97_1.spec    21.9537     0.5            
  SPARTAN_comb_N98    0.8304     SPARTAN_comb_N98_1.spec    24.2164     0.5            
  SPARTAN_comb_N99    0.831      SPARTAN_comb_N99_1.spec    22.5924     0.5            
  SPARTAN_comb_N100   0.8312     SPARTAN_comb_N100_1.spec   22.1795     0.5            
  SPARTAN_comb_N101   0.8315     SPARTAN_comb_N101_1.spec   23.1176     0.5            
  SPARTAN_comb_N102   0.8324     SPARTAN_comb_N102_1.spec   23.191      0.5            
  SPARTAN_comb_N103   0.8328     SPARTAN_comb_N103_1.spec   23.8357     0.5            
  SPARTAN_comb_N104   0.8332     SPARTAN_comb_N104_1.spec   23.3206     0.5            
  SPARTAN_comb_N105   0.8335     SPARTAN_comb_N105_1.spec   23.618      0.5            
  SPARTAN_comb_N106   0.8341     SPARTAN_comb_N106_1.spec   22.5817     0.5            
  SPARTAN_comb_N107   0.8345     SPARTAN_comb_N107_1.spec   22.8163     0.5            
