# ident               redshift   spec1                      i-megacam   i-megacam_err  
  SPARTAN_comb_N297   0.8689     SPARTAN_comb_N297_1.spec   23.5895     0.5            
  SPARTAN_comb_N298   0.8692     SPARTAN_comb_N298_1.spec   24.0916     0.5            
  SPARTAN_comb_N299   0.8696     SPARTAN_comb_N299_1.spec   22.6231     0.5            
  SPARTAN_comb_N300   0.8698     SPARTAN_comb_N300_1.spec   22.9329     0.5            
  SPARTAN_comb_N301   0.8698     SPARTAN_comb_N301_1.spec   23.2316     0.5            
  SPARTAN_comb_N302   0.8705     SPARTAN_comb_N302_1.spec   21.3819     0.5            
  SPARTAN_comb_N303   0.871      SPARTAN_comb_N303_1.spec   23.2363     0.5            
  SPARTAN_comb_N304   0.8716     SPARTAN_comb_N304_1.spec   22.8339     0.5            
  SPARTAN_comb_N305   0.873      SPARTAN_comb_N305_1.spec   22.4167     0.5            
  SPARTAN_comb_N306   0.8731     SPARTAN_comb_N306_1.spec   21.4574     0.5            
  SPARTAN_comb_N307   0.8731     SPARTAN_comb_N307_1.spec   23.5697     0.5            
  SPARTAN_comb_N308   0.8733     SPARTAN_comb_N308_1.spec   23.9841     0.5            
  SPARTAN_comb_N309   0.8738     SPARTAN_comb_N309_1.spec   21.0841     0.5            
  SPARTAN_comb_N310   0.8738     SPARTAN_comb_N310_1.spec   23.9877     0.5            
  SPARTAN_comb_N311   0.8739     SPARTAN_comb_N311_1.spec   22.5262     0.5            
  SPARTAN_comb_N312   0.874      SPARTAN_comb_N312_1.spec   22.1732     0.5            
  SPARTAN_comb_N313   0.8741     SPARTAN_comb_N313_1.spec   23.2471     0.5            
  SPARTAN_comb_N314   0.8744     SPARTAN_comb_N314_1.spec   23.0737     0.5            
  SPARTAN_comb_N315   0.8744     SPARTAN_comb_N315_1.spec   23.6997     0.5            
  SPARTAN_comb_N316   0.875      SPARTAN_comb_N316_1.spec   22.5215     0.5            
  SPARTAN_comb_N317   0.8753     SPARTAN_comb_N317_1.spec   23.2729     0.5            
  SPARTAN_comb_N318   0.8754     SPARTAN_comb_N318_1.spec   21.732      0.5            
  SPARTAN_comb_N319   0.8754     SPARTAN_comb_N319_1.spec   21.8189     0.5            
  SPARTAN_comb_N320   0.8757     SPARTAN_comb_N320_1.spec   22.1202     0.5            
  SPARTAN_comb_N321   0.8757     SPARTAN_comb_N321_1.spec   23.7448     0.5            
  SPARTAN_comb_N322   0.8758     SPARTAN_comb_N322_1.spec   23.2176     0.5            
  SPARTAN_comb_N323   0.876      SPARTAN_comb_N323_1.spec   23.7528     0.5            
  SPARTAN_comb_N324   0.8762     SPARTAN_comb_N324_1.spec   22.9965     0.5            
  SPARTAN_comb_N325   0.8762     SPARTAN_comb_N325_1.spec   23.7707     0.5            
  SPARTAN_comb_N326   0.8764     SPARTAN_comb_N326_1.spec   22.9901     0.5            
  SPARTAN_comb_N327   0.8767     SPARTAN_comb_N327_1.spec   22.7537     0.5            
  SPARTAN_comb_N328   0.8767     SPARTAN_comb_N328_1.spec   23.4211     0.5            
  SPARTAN_comb_N329   0.8768     SPARTAN_comb_N329_1.spec   23.7494     0.5            
  SPARTAN_comb_N330   0.877      SPARTAN_comb_N330_1.spec   23.1564     0.5            
  SPARTAN_comb_N331   0.8772     SPARTAN_comb_N331_1.spec   23.7851     0.5            
  SPARTAN_comb_N332   0.8774     SPARTAN_comb_N332_1.spec   21.8847     0.5            
  SPARTAN_comb_N333   0.8774     SPARTAN_comb_N333_1.spec   22.261      0.5            
  SPARTAN_comb_N334   0.8775     SPARTAN_comb_N334_1.spec   24.0547     0.5            
  SPARTAN_comb_N335   0.8776     SPARTAN_comb_N335_1.spec   22.4508     0.5            
  SPARTAN_comb_N336   0.8779     SPARTAN_comb_N336_1.spec   22.7622     0.5            
  SPARTAN_comb_N337   0.878      SPARTAN_comb_N337_1.spec   23.6237     0.5            
  SPARTAN_comb_N338   0.8784     SPARTAN_comb_N338_1.spec   22.7655     0.5            
  SPARTAN_comb_N339   0.8787     SPARTAN_comb_N339_1.spec   22.235      0.5            
  SPARTAN_comb_N340   0.8787     SPARTAN_comb_N340_1.spec   22.6618     0.5            
  SPARTAN_comb_N341   0.8788     SPARTAN_comb_N341_1.spec   23.8269     0.5            
  SPARTAN_comb_N342   0.879      SPARTAN_comb_N342_1.spec   23.1655     0.5            
  SPARTAN_comb_N343   0.8795     SPARTAN_comb_N343_1.spec   22.3198     0.5            
  SPARTAN_comb_N344   0.8796     SPARTAN_comb_N344_1.spec   23.6537     0.5            
  SPARTAN_comb_N345   0.8797     SPARTAN_comb_N345_1.spec   23.5231     0.5            
  SPARTAN_comb_N346   0.8798     SPARTAN_comb_N346_1.spec   22.942      0.5            
  SPARTAN_comb_N347   0.88       SPARTAN_comb_N347_1.spec   23.3405     0.5            
  SPARTAN_comb_N348   0.8801     SPARTAN_comb_N348_1.spec   22.7161     0.5            
  SPARTAN_comb_N349   0.8804     SPARTAN_comb_N349_1.spec   22.2523     0.5            
  SPARTAN_comb_N350   0.8805     SPARTAN_comb_N350_1.spec   22.8903     0.5            
  SPARTAN_comb_N351   0.8805     SPARTAN_comb_N351_1.spec   22.9581     0.5            
  SPARTAN_comb_N352   0.8807     SPARTAN_comb_N352_1.spec   22.0103     0.5            
  SPARTAN_comb_N353   0.8807     SPARTAN_comb_N353_1.spec   22.6647     0.5            
  SPARTAN_comb_N354   0.881      SPARTAN_comb_N354_1.spec   21.8933     0.5            
  SPARTAN_comb_N355   0.881      SPARTAN_comb_N355_1.spec   22.6933     0.5            
  SPARTAN_comb_N356   0.8811     SPARTAN_comb_N356_1.spec   23.1282     0.5            
  SPARTAN_comb_N357   0.8811     SPARTAN_comb_N357_1.spec   23.2851     0.5            
  SPARTAN_comb_N358   0.8813     SPARTAN_comb_N358_1.spec   22.4332     0.5            
  SPARTAN_comb_N359   0.8813     SPARTAN_comb_N359_1.spec   22.9517     0.5            
  SPARTAN_comb_N360   0.8814     SPARTAN_comb_N360_1.spec   22.0905     0.5            
  SPARTAN_comb_N361   0.8816     SPARTAN_comb_N361_1.spec   21.0738     0.5            
  SPARTAN_comb_N362   0.8816     SPARTAN_comb_N362_1.spec   22.3038     0.5            
  SPARTAN_comb_N363   0.8818     SPARTAN_comb_N363_1.spec   21.5414     0.5            
  SPARTAN_comb_N364   0.8823     SPARTAN_comb_N364_1.spec   22.8823     0.5            
  SPARTAN_comb_N365   0.8825     SPARTAN_comb_N365_1.spec   22.9253     0.5            
  SPARTAN_comb_N366   0.8825     SPARTAN_comb_N366_1.spec   23.8717     0.5            
  SPARTAN_comb_N367   0.8826     SPARTAN_comb_N367_1.spec   23.719      0.5            
  SPARTAN_comb_N368   0.8829     SPARTAN_comb_N368_1.spec   21.46       0.5            
  SPARTAN_comb_N369   0.883      SPARTAN_comb_N369_1.spec   22.3964     0.5            
  SPARTAN_comb_N370   0.883      SPARTAN_comb_N370_1.spec   23.6497     0.5            
  SPARTAN_comb_N371   0.8831     SPARTAN_comb_N371_1.spec   22.2789     0.5            
  SPARTAN_comb_N372   0.8831     SPARTAN_comb_N372_1.spec   23.674      0.5            
  SPARTAN_comb_N373   0.8833     SPARTAN_comb_N373_1.spec   22.7694     0.5            
  SPARTAN_comb_N374   0.8833     SPARTAN_comb_N374_1.spec   22.8057     0.5            
  SPARTAN_comb_N375   0.8833     SPARTAN_comb_N375_1.spec   23.2694     0.5            
  SPARTAN_comb_N376   0.8833     SPARTAN_comb_N376_1.spec   23.5622     0.5            
  SPARTAN_comb_N377   0.8834     SPARTAN_comb_N377_1.spec   22.8984     0.5            
  SPARTAN_comb_N378   0.8834     SPARTAN_comb_N378_1.spec   23.3025     0.5            
  SPARTAN_comb_N379   0.8834     SPARTAN_comb_N379_1.spec   23.4767     0.5            
  SPARTAN_comb_N380   0.8835     SPARTAN_comb_N380_1.spec   22.666      0.5            
  SPARTAN_comb_N381   0.8836     SPARTAN_comb_N381_1.spec   23.0663     0.5            
  SPARTAN_comb_N382   0.8837     SPARTAN_comb_N382_1.spec   21.7255     0.5            
  SPARTAN_comb_N383   0.8838     SPARTAN_comb_N383_1.spec   21.7059     0.5            
  SPARTAN_comb_N384   0.884      SPARTAN_comb_N384_1.spec   23.247      0.5            
  SPARTAN_comb_N385   0.8843     SPARTAN_comb_N385_1.spec   23.0757     0.5            
  SPARTAN_comb_N386   0.8844     SPARTAN_comb_N386_1.spec   23.1761     0.5            
  SPARTAN_comb_N387   0.8844     SPARTAN_comb_N387_1.spec   24.0263     0.5            
  SPARTAN_comb_N388   0.8845     SPARTAN_comb_N388_1.spec   22.7751     0.5            
  SPARTAN_comb_N389   0.8847     SPARTAN_comb_N389_1.spec   21.8035     0.5            
  SPARTAN_comb_N390   0.8847     SPARTAN_comb_N390_1.spec   22.8039     0.5            
  SPARTAN_comb_N391   0.8848     SPARTAN_comb_N391_1.spec   22.3875     0.5            
  SPARTAN_comb_N392   0.8848     SPARTAN_comb_N392_1.spec   22.7445     0.5            
  SPARTAN_comb_N393   0.8849     SPARTAN_comb_N393_1.spec   22.9195     0.5            
  SPARTAN_comb_N394   0.8849     SPARTAN_comb_N394_1.spec   23.3433     0.5            
  SPARTAN_comb_N395   0.8851     SPARTAN_comb_N395_1.spec   22.214      0.5            
  SPARTAN_comb_N396   0.8854     SPARTAN_comb_N396_1.spec   23.1582     0.5            
  SPARTAN_comb_N397   0.8854     SPARTAN_comb_N397_1.spec   23.4718     0.5            
  SPARTAN_comb_N398   0.8855     SPARTAN_comb_N398_1.spec   22.4282     0.5            
  SPARTAN_comb_N399   0.8855     SPARTAN_comb_N399_1.spec   23.8903     0.5            
  SPARTAN_comb_N400   0.8856     SPARTAN_comb_N400_1.spec   22.242      0.5            
  SPARTAN_comb_N401   0.8856     SPARTAN_comb_N401_1.spec   23.8996     0.5            
  SPARTAN_comb_N402   0.8857     SPARTAN_comb_N402_1.spec   22.8985     0.5            
  SPARTAN_comb_N403   0.8858     SPARTAN_comb_N403_1.spec   21.5075     0.5            
  SPARTAN_comb_N404   0.8859     SPARTAN_comb_N404_1.spec   23.0406     0.5            
  SPARTAN_comb_N405   0.8859     SPARTAN_comb_N405_1.spec   23.2593     0.5            
  SPARTAN_comb_N406   0.8862     SPARTAN_comb_N406_1.spec   22.9108     0.5            
  SPARTAN_comb_N407   0.8863     SPARTAN_comb_N407_1.spec   22.1136     0.5            
  SPARTAN_comb_N408   0.8864     SPARTAN_comb_N408_1.spec   20.8643     0.5            
  SPARTAN_comb_N409   0.8864     SPARTAN_comb_N409_1.spec   21.8713     0.5            
  SPARTAN_comb_N410   0.8865     SPARTAN_comb_N410_1.spec   22.0966     0.5            
  SPARTAN_comb_N411   0.8865     SPARTAN_comb_N411_1.spec   23.2219     0.5            
  SPARTAN_comb_N412   0.8866     SPARTAN_comb_N412_1.spec   22.8008     0.5            
  SPARTAN_comb_N413   0.8867     SPARTAN_comb_N413_1.spec   21.6864     0.5            
  SPARTAN_comb_N414   0.8867     SPARTAN_comb_N414_1.spec   22.2842     0.5            
  SPARTAN_comb_N415   0.8867     SPARTAN_comb_N415_1.spec   23.3822     0.5            
  SPARTAN_comb_N416   0.8869     SPARTAN_comb_N416_1.spec   23.0427     0.5            
  SPARTAN_comb_N417   0.887      SPARTAN_comb_N417_1.spec   22.2235     0.5            
  SPARTAN_comb_N418   0.887      SPARTAN_comb_N418_1.spec   22.2536     0.5            
  SPARTAN_comb_N419   0.887      SPARTAN_comb_N419_1.spec   23.2382     0.5            
  SPARTAN_comb_N420   0.8871     SPARTAN_comb_N420_1.spec   21.969      0.5            
  SPARTAN_comb_N421   0.8871     SPARTAN_comb_N421_1.spec   23.6981     0.5            
  SPARTAN_comb_N422   0.8872     SPARTAN_comb_N422_1.spec   22.58       0.5            
  SPARTAN_comb_N423   0.8875     SPARTAN_comb_N423_1.spec   22.1338     0.5            
  SPARTAN_comb_N424   0.8875     SPARTAN_comb_N424_1.spec   23.7867     0.5            
  SPARTAN_comb_N425   0.8879     SPARTAN_comb_N425_1.spec   23.7606     0.5            
  SPARTAN_comb_N426   0.8882     SPARTAN_comb_N426_1.spec   22.0173     0.5            
  SPARTAN_comb_N427   0.8883     SPARTAN_comb_N427_1.spec   22.9653     0.5            
  SPARTAN_comb_N428   0.8883     SPARTAN_comb_N428_1.spec   23.0197     0.5            
  SPARTAN_comb_N429   0.8884     SPARTAN_comb_N429_1.spec   21.8236     0.5            
  SPARTAN_comb_N430   0.8884     SPARTAN_comb_N430_1.spec   22.6657     0.5            
  SPARTAN_comb_N431   0.8885     SPARTAN_comb_N431_1.spec   22.1791     0.5            
  SPARTAN_comb_N432   0.8887     SPARTAN_comb_N432_1.spec   21.1488     0.5            
  SPARTAN_comb_N433   0.8888     SPARTAN_comb_N433_1.spec   21.2761     0.5            
  SPARTAN_comb_N434   0.8889     SPARTAN_comb_N434_1.spec   21.975      0.5            
  SPARTAN_comb_N435   0.889      SPARTAN_comb_N435_1.spec   21.3012     0.5            
  SPARTAN_comb_N436   0.889      SPARTAN_comb_N436_1.spec   21.4943     0.5            
  SPARTAN_comb_N437   0.889      SPARTAN_comb_N437_1.spec   22.5967     0.5            
  SPARTAN_comb_N438   0.889      SPARTAN_comb_N438_1.spec   23.6673     0.5            
  SPARTAN_comb_N439   0.8891     SPARTAN_comb_N439_1.spec   21.2832     0.5            
  SPARTAN_comb_N440   0.8893     SPARTAN_comb_N440_1.spec   22.8824     0.5            
  SPARTAN_comb_N441   0.8894     SPARTAN_comb_N441_1.spec   22.7945     0.5            
  SPARTAN_comb_N442   0.8894     SPARTAN_comb_N442_1.spec   22.9517     0.5            
  SPARTAN_comb_N443   0.8896     SPARTAN_comb_N443_1.spec   22.5688     0.5            
  SPARTAN_comb_N444   0.8896     SPARTAN_comb_N444_1.spec   22.9461     0.5            
  SPARTAN_comb_N445   0.8897     SPARTAN_comb_N445_1.spec   22.2204     0.5            
  SPARTAN_comb_N446   0.8897     SPARTAN_comb_N446_1.spec   23.0758     0.5            
  SPARTAN_comb_N447   0.8898     SPARTAN_comb_N447_1.spec   23.1606     0.5            
  SPARTAN_comb_N448   0.8899     SPARTAN_comb_N448_1.spec   22.1314     0.5            
  SPARTAN_comb_N449   0.8899     SPARTAN_comb_N449_1.spec   22.3239     0.5            
  SPARTAN_comb_N450   0.8899     SPARTAN_comb_N450_1.spec   22.9504     0.5            
  SPARTAN_comb_N451   0.8899     SPARTAN_comb_N451_1.spec   24.1925     0.5            
  SPARTAN_comb_N452   0.8901     SPARTAN_comb_N452_1.spec   23.5778     0.5            
  SPARTAN_comb_N453   0.8901     SPARTAN_comb_N453_1.spec   23.7499     0.5            
  SPARTAN_comb_N454   0.8902     SPARTAN_comb_N454_1.spec   22.8836     0.5            
  SPARTAN_comb_N455   0.8902     SPARTAN_comb_N455_1.spec   23.4393     0.5            
  SPARTAN_comb_N456   0.8903     SPARTAN_comb_N456_1.spec   23.1771     0.5            
  SPARTAN_comb_N457   0.8903     SPARTAN_comb_N457_1.spec   23.5447     0.5            
  SPARTAN_comb_N458   0.8904     SPARTAN_comb_N458_1.spec   23.2088     0.5            
  SPARTAN_comb_N459   0.8904     SPARTAN_comb_N459_1.spec   24.1362     0.5            
  SPARTAN_comb_N460   0.8908     SPARTAN_comb_N460_1.spec   22.0307     0.5            
  SPARTAN_comb_N461   0.8908     SPARTAN_comb_N461_1.spec   22.0557     0.5            
  SPARTAN_comb_N462   0.8908     SPARTAN_comb_N462_1.spec   22.3838     0.5            
  SPARTAN_comb_N463   0.8909     SPARTAN_comb_N463_1.spec   21.3797     0.5            
  SPARTAN_comb_N464   0.8909     SPARTAN_comb_N464_1.spec   23.5395     0.5            
  SPARTAN_comb_N465   0.891      SPARTAN_comb_N465_1.spec   22.9724     0.5            
  SPARTAN_comb_N466   0.8912     SPARTAN_comb_N466_1.spec   22.8583     0.5            
  SPARTAN_comb_N467   0.8912     SPARTAN_comb_N467_1.spec   23.7607     0.5            
  SPARTAN_comb_N468   0.8913     SPARTAN_comb_N468_1.spec   23.3108     0.5            
  SPARTAN_comb_N469   0.8915     SPARTAN_comb_N469_1.spec   21.2329     0.5            
  SPARTAN_comb_N470   0.8915     SPARTAN_comb_N470_1.spec   22.2026     0.5            
  SPARTAN_comb_N471   0.8915     SPARTAN_comb_N471_1.spec   22.7256     0.5            
  SPARTAN_comb_N472   0.892      SPARTAN_comb_N472_1.spec   22.8797     0.5            
  SPARTAN_comb_N473   0.892      SPARTAN_comb_N473_1.spec   23.2498     0.5            
  SPARTAN_comb_N474   0.8923     SPARTAN_comb_N474_1.spec   21.5843     0.5            
  SPARTAN_comb_N475   0.8923     SPARTAN_comb_N475_1.spec   21.6002     0.5            
  SPARTAN_comb_N476   0.8924     SPARTAN_comb_N476_1.spec   22.6961     0.5            
  SPARTAN_comb_N477   0.8924     SPARTAN_comb_N477_1.spec   24.1344     0.5            
  SPARTAN_comb_N478   0.8925     SPARTAN_comb_N478_1.spec   21.9731     0.5            
  SPARTAN_comb_N479   0.8926     SPARTAN_comb_N479_1.spec   22.1814     0.5            
  SPARTAN_comb_N480   0.8926     SPARTAN_comb_N480_1.spec   22.7676     0.5            
  SPARTAN_comb_N481   0.8929     SPARTAN_comb_N481_1.spec   22.3701     0.5            
  SPARTAN_comb_N482   0.8931     SPARTAN_comb_N482_1.spec   22.3343     0.5            
  SPARTAN_comb_N483   0.8932     SPARTAN_comb_N483_1.spec   23.4703     0.5            
  SPARTAN_comb_N484   0.8933     SPARTAN_comb_N484_1.spec   23.4313     0.5            
  SPARTAN_comb_N485   0.8934     SPARTAN_comb_N485_1.spec   22.3774     0.5            
  SPARTAN_comb_N486   0.8936     SPARTAN_comb_N486_1.spec   23.0646     0.5            
  SPARTAN_comb_N487   0.8937     SPARTAN_comb_N487_1.spec   23.1828     0.5            
  SPARTAN_comb_N488   0.8937     SPARTAN_comb_N488_1.spec   23.696      0.5            
  SPARTAN_comb_N489   0.8938     SPARTAN_comb_N489_1.spec   22.3683     0.5            
  SPARTAN_comb_N490   0.8938     SPARTAN_comb_N490_1.spec   23.2449     0.5            
  SPARTAN_comb_N491   0.894      SPARTAN_comb_N491_1.spec   21.5531     0.5            
  SPARTAN_comb_N492   0.894      SPARTAN_comb_N492_1.spec   21.6249     0.5            
  SPARTAN_comb_N493   0.894      SPARTAN_comb_N493_1.spec   21.8613     0.5            
  SPARTAN_comb_N494   0.894      SPARTAN_comb_N494_1.spec   22.411      0.5            
  SPARTAN_comb_N495   0.8941     SPARTAN_comb_N495_1.spec   22.0174     0.5            
  SPARTAN_comb_N496   0.8943     SPARTAN_comb_N496_1.spec   21.9243     0.5            
  SPARTAN_comb_N497   0.8943     SPARTAN_comb_N497_1.spec   23.1954     0.5            
  SPARTAN_comb_N498   0.8947     SPARTAN_comb_N498_1.spec   23.0917     0.5            
  SPARTAN_comb_N499   0.8947     SPARTAN_comb_N499_1.spec   23.1706     0.5            
  SPARTAN_comb_N500   0.8947     SPARTAN_comb_N500_1.spec   23.8428     0.5            
  SPARTAN_comb_N501   0.8949     SPARTAN_comb_N501_1.spec   22.425      0.5            
  SPARTAN_comb_N502   0.8951     SPARTAN_comb_N502_1.spec   21.2106     0.5            
  SPARTAN_comb_N503   0.8951     SPARTAN_comb_N503_1.spec   21.85       0.5            
  SPARTAN_comb_N504   0.8952     SPARTAN_comb_N504_1.spec   21.8815     0.5            
  SPARTAN_comb_N505   0.8954     SPARTAN_comb_N505_1.spec   20.3915     0.5            
  SPARTAN_comb_N506   0.8958     SPARTAN_comb_N506_1.spec   22.2682     0.5            
  SPARTAN_comb_N507   0.8959     SPARTAN_comb_N507_1.spec   22.4645     0.5            
  SPARTAN_comb_N508   0.8959     SPARTAN_comb_N508_1.spec   23.4454     0.5            
  SPARTAN_comb_N509   0.896      SPARTAN_comb_N509_1.spec   22.9947     0.5            
  SPARTAN_comb_N510   0.8961     SPARTAN_comb_N510_1.spec   23.2446     0.5            
  SPARTAN_comb_N511   0.8967     SPARTAN_comb_N511_1.spec   23.2495     0.5            
  SPARTAN_comb_N512   0.8969     SPARTAN_comb_N512_1.spec   22.4708     0.5            
  SPARTAN_comb_N513   0.897      SPARTAN_comb_N513_1.spec   21.6451     0.5            
  SPARTAN_comb_N514   0.8973     SPARTAN_comb_N514_1.spec   23.4796     0.5            
  SPARTAN_comb_N515   0.898      SPARTAN_comb_N515_1.spec   23.5463     0.5            
  SPARTAN_comb_N516   0.8982     SPARTAN_comb_N516_1.spec   23.0577     0.5            
  SPARTAN_comb_N517   0.8983     SPARTAN_comb_N517_1.spec   23.7589     0.5            
  SPARTAN_comb_N518   0.8986     SPARTAN_comb_N518_1.spec   23.335      0.5            
  SPARTAN_comb_N519   0.8987     SPARTAN_comb_N519_1.spec   22.6437     0.5            
  SPARTAN_comb_N520   0.8988     SPARTAN_comb_N520_1.spec   22.5782     0.5            
  SPARTAN_comb_N521   0.8989     SPARTAN_comb_N521_1.spec   22.2012     0.5            
  SPARTAN_comb_N522   0.899      SPARTAN_comb_N522_1.spec   23.6384     0.5            
  SPARTAN_comb_N523   0.8998     SPARTAN_comb_N523_1.spec   20.9482     0.5            
  SPARTAN_comb_N524   0.8998     SPARTAN_comb_N524_1.spec   23.8433     0.5            
  SPARTAN_comb_N525   0.9001     SPARTAN_comb_N525_1.spec   21.4149     0.5            
  SPARTAN_comb_N526   0.9007     SPARTAN_comb_N526_1.spec   24.0048     0.5            
  SPARTAN_comb_N527   0.9008     SPARTAN_comb_N527_1.spec   23.051      0.5            
  SPARTAN_comb_N528   0.901      SPARTAN_comb_N528_1.spec   22.7955     0.5            
  SPARTAN_comb_N529   0.9017     SPARTAN_comb_N529_1.spec   22.6055     0.5            
  SPARTAN_comb_N530   0.9018     SPARTAN_comb_N530_1.spec   22.1734     0.5            
  SPARTAN_comb_N531   0.9018     SPARTAN_comb_N531_1.spec   23.1156     0.5            
  SPARTAN_comb_N532   0.9022     SPARTAN_comb_N532_1.spec   22.6152     0.5            
  SPARTAN_comb_N533   0.9025     SPARTAN_comb_N533_1.spec   22.6548     0.5            
  SPARTAN_comb_N534   0.9025     SPARTAN_comb_N534_1.spec   24.2581     0.5            
  SPARTAN_comb_N535   0.9029     SPARTAN_comb_N535_1.spec   22.2056     0.5            
  SPARTAN_comb_N536   0.9029     SPARTAN_comb_N536_1.spec   23.277      0.5            
  SPARTAN_comb_N537   0.903      SPARTAN_comb_N537_1.spec   21.8993     0.5            
  SPARTAN_comb_N538   0.903      SPARTAN_comb_N538_1.spec   22.6244     0.5            
  SPARTAN_comb_N539   0.903      SPARTAN_comb_N539_1.spec   23.1807     0.5            
  SPARTAN_comb_N540   0.9032     SPARTAN_comb_N540_1.spec   22.2248     0.5            
  SPARTAN_comb_N541   0.9032     SPARTAN_comb_N541_1.spec   23.3105     0.5            
  SPARTAN_comb_N542   0.9035     SPARTAN_comb_N542_1.spec   22.894      0.5            
  SPARTAN_comb_N543   0.9035     SPARTAN_comb_N543_1.spec   24.1432     0.5            
  SPARTAN_comb_N544   0.9042     SPARTAN_comb_N544_1.spec   22.9401     0.5            
  SPARTAN_comb_N545   0.9044     SPARTAN_comb_N545_1.spec   22.9489     0.5            
  SPARTAN_comb_N546   0.9046     SPARTAN_comb_N546_1.spec   21.3642     0.5            
  SPARTAN_comb_N547   0.9046     SPARTAN_comb_N547_1.spec   22.1836     0.5            
  SPARTAN_comb_N548   0.9049     SPARTAN_comb_N548_1.spec   22.8357     0.5            
  SPARTAN_comb_N549   0.9051     SPARTAN_comb_N549_1.spec   23.1849     0.5            
  SPARTAN_comb_N550   0.9054     SPARTAN_comb_N550_1.spec   21.7254     0.5            
  SPARTAN_comb_N551   0.9054     SPARTAN_comb_N551_1.spec   23.2284     0.5            
  SPARTAN_comb_N552   0.9066     SPARTAN_comb_N552_1.spec   21.737      0.5            
  SPARTAN_comb_N553   0.9067     SPARTAN_comb_N553_1.spec   23.4407     0.5            
  SPARTAN_comb_N554   0.9069     SPARTAN_comb_N554_1.spec   21.7406     0.5            
  SPARTAN_comb_N555   0.9072     SPARTAN_comb_N555_1.spec   20.3963     0.5            
  SPARTAN_comb_N556   0.9073     SPARTAN_comb_N556_1.spec   22.9894     0.5            
  SPARTAN_comb_N557   0.9078     SPARTAN_comb_N557_1.spec   22.1487     0.5            
  SPARTAN_comb_N558   0.9081     SPARTAN_comb_N558_1.spec   22.3311     0.5            
  SPARTAN_comb_N559   0.9087     SPARTAN_comb_N559_1.spec   22.6062     0.5            
  SPARTAN_comb_N560   0.909      SPARTAN_comb_N560_1.spec   23.6345     0.5            
  SPARTAN_comb_N561   0.9094     SPARTAN_comb_N561_1.spec   21.9693     0.5            
  SPARTAN_comb_N562   0.9096     SPARTAN_comb_N562_1.spec   22.729      0.5            
  SPARTAN_comb_N563   0.9096     SPARTAN_comb_N563_1.spec   23.9249     0.5            
  SPARTAN_comb_N564   0.9099     SPARTAN_comb_N564_1.spec   20.6343     0.5            
  SPARTAN_comb_N565   0.9104     SPARTAN_comb_N565_1.spec   23.0832     0.5            
  SPARTAN_comb_N566   0.911      SPARTAN_comb_N566_1.spec   24.0421     0.5            
  SPARTAN_comb_N567   0.9112     SPARTAN_comb_N567_1.spec   22.7013     0.5            
  SPARTAN_comb_N568   0.9114     SPARTAN_comb_N568_1.spec   20.9944     0.5            
  SPARTAN_comb_N569   0.912      SPARTAN_comb_N569_1.spec   23.3619     0.5            
  SPARTAN_comb_N570   0.9121     SPARTAN_comb_N570_1.spec   23.5491     0.5            
  SPARTAN_comb_N571   0.9122     SPARTAN_comb_N571_1.spec   21.7886     0.5            
  SPARTAN_comb_N572   0.9126     SPARTAN_comb_N572_1.spec   22.5458     0.5            
  SPARTAN_comb_N573   0.9126     SPARTAN_comb_N573_1.spec   23.2034     0.5            
  SPARTAN_comb_N574   0.9131     SPARTAN_comb_N574_1.spec   23.8143     0.5            
  SPARTAN_comb_N575   0.9135     SPARTAN_comb_N575_1.spec   23.5518     0.5            
  SPARTAN_comb_N576   0.9136     SPARTAN_comb_N576_1.spec   23.9233     0.5            
  SPARTAN_comb_N577   0.9139     SPARTAN_comb_N577_1.spec   22.0978     0.5            
  SPARTAN_comb_N578   0.914      SPARTAN_comb_N578_1.spec   23.1138     0.5            
  SPARTAN_comb_N579   0.9143     SPARTAN_comb_N579_1.spec   21.9005     0.5            
  SPARTAN_comb_N580   0.9144     SPARTAN_comb_N580_1.spec   22.003      0.5            
  SPARTAN_comb_N581   0.9145     SPARTAN_comb_N581_1.spec   23.6616     0.5            
  SPARTAN_comb_N582   0.9149     SPARTAN_comb_N582_1.spec   23.4614     0.5            
  SPARTAN_comb_N583   0.915      SPARTAN_comb_N583_1.spec   20.6193     0.5            
  SPARTAN_comb_N584   0.9151     SPARTAN_comb_N584_1.spec   22.3561     0.5            
  SPARTAN_comb_N585   0.9152     SPARTAN_comb_N585_1.spec   21.9574     0.5            
  SPARTAN_comb_N586   0.9153     SPARTAN_comb_N586_1.spec   22.9124     0.5            
  SPARTAN_comb_N587   0.9154     SPARTAN_comb_N587_1.spec   21.9029     0.5            
  SPARTAN_comb_N588   0.9154     SPARTAN_comb_N588_1.spec   23.1153     0.5            
  SPARTAN_comb_N589   0.9155     SPARTAN_comb_N589_1.spec   23.4871     0.5            
  SPARTAN_comb_N590   0.9156     SPARTAN_comb_N590_1.spec   22.6915     0.5            
  SPARTAN_comb_N591   0.9159     SPARTAN_comb_N591_1.spec   21.3229     0.5            
  SPARTAN_comb_N592   0.9159     SPARTAN_comb_N592_1.spec   23.8429     0.5            
  SPARTAN_comb_N593   0.9163     SPARTAN_comb_N593_1.spec   22.685      0.5            
  SPARTAN_comb_N594   0.9164     SPARTAN_comb_N594_1.spec   21.8768     0.5            
